X,P1,P2,P3,P4,P5
8.986266960000000381e+02,2.802376220703125000e+03,2.897398437500000000e+03,3.494339355468750000e+03,3.972387207031250000e+03,1.838981445312500000e+03
9.022653810000000476e+02,2.464977783203125000e+03,2.797011962890625000e+03,3.340646972656250000e+03,3.678610107421875000e+03,1.604955200195312500e+03
9.059040649999999459e+02,2.948988037109375000e+03,3.202897949218750000e+03,3.588513671875000000e+03,4.021517333984375000e+03,1.844626953125000000e+03
9.095427499999999554e+02,2.572078369140625000e+03,2.794729736328125000e+03,3.715974609375000000e+03,4.015229248046875000e+03,1.854921264648437500e+03
9.131814349999999649e+02,2.841986816406250000e+03,2.820554931640625000e+03,3.532079589843750000e+03,3.849718750000000000e+03,1.837412475585937500e+03
9.168201199999999744e+02,2.609400390625000000e+03,2.773554687500000000e+03,3.533034912109375000e+03,3.698699707031250000e+03,1.588374755859375000e+03
9.204588039999999864e+02,2.724310791015625000e+03,2.707438964843750000e+03,3.420704345703125000e+03,3.844364990234375000e+03,1.851252441406250000e+03
9.240974889999999959e+02,2.735910156250000000e+03,2.939994140625000000e+03,3.402134033203125000e+03,3.873854980468750000e+03,1.887892089843750000e+03
9.277361740000000054e+02,3.055700927734375000e+03,3.239714599609375000e+03,3.510910400390625000e+03,4.151679687500000000e+03,2.036391967773437500e+03
9.313748590000000149e+02,3.095231201171875000e+03,2.952089599609375000e+03,4.018463378906250000e+03,4.420213378906250000e+03,1.959280639648437500e+03
9.350135430000000270e+02,2.512659179687500000e+03,2.864056884765625000e+03,4.268676269531250000e+03,5.427585449218750000e+03,1.681966186523437500e+03
9.386522280000000364e+02,2.279910888671875000e+03,2.336209960937500000e+03,3.909613037109375000e+03,4.229840820312500000e+03,1.679756469726562500e+03
9.422909130000000459e+02,2.539221435546875000e+03,3.051625976562500000e+03,3.739491699218750000e+03,4.315942871093750000e+03,2.038061523437500000e+03
9.459295980000000554e+02,2.658386474609375000e+03,2.734343994140625000e+03,3.535785156250000000e+03,4.008030029296875000e+03,1.870442504882812500e+03
